channel_name,comentarios,con_señal,score_medio
Quorum,256,197,-0.08543484152621209
Gobierno de la República de Guatemala,70,57,0.6237816764132554
Noticias Telemundo,25,15,0.23333333333333334
Municipalidad de Guatemala,25,20,1.5430555555555556
Noti7,14,8,0.59375
PrensaLibreOficial,7,6,-0.5944444444444444
TN23 Guatemala,7,2,-0.75
Noticiero Guatevisión 13 Hrs.,2,2,-1.5
