comunidad_video,comentarios,con_señal,score_medio
1,161,125,-0.45803492063492063
2,50,37,0.2637387387387387
4,45,38,0.8147295321637427
3,34,27,0.8172358505691839
5,25,20,1.5430555555555556
6,25,15,0.23333333333333334
7,25,19,0.2418859649122807
8,14,8,0.59375
9,7,6,-0.5944444444444444
10,7,2,-0.75
11,4,3,1.5333333333333332
12,3,3,1.0
13,2,2,-1.5
14,1,1,-1.0
15,1,0,
16,1,1,2.0
17,1,0,
