node_id,node_type,raw_id,label,comunidad
author::UC7VUuJr9cGh845CmTvf7TlQ,author,UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,1
author::UC7dadZG7kkGYnsNu6td0FbA,author,UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,2
author::UC816IGbFCZinfYS1LRDaaHg,author,UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,2
author::UC8F2V63KZ4ZEay6opX2hAQw,author,UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,1
author::UC8G5cJONY8L9voMyBW8Eoug,author,UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,1
author::UC8r11yOugM2NuRfitQOxLLg,author,UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,1
author::UC8xlJWNHz1V_W6q3fbuQH8g,author,UC8xlJWNHz1V_W6q3fbuQH8g,@NormaLópez-v7e,7
author::UC95PSMouTx2N5CbSq0hIyrQ,author,UC95PSMouTx2N5CbSq0hIyrQ,@lisss1908,2
author::UC9Wp6vL5oCU37qC3Aj94WZA,author,UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,9
author::UC9vMq1YF-e7C-VO0SHkbUTA,author,UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,1
author::UC9xr9QvIcDvoZNUX5f-jaZw,author,UC9xr9QvIcDvoZNUX5f-jaZw,@MariaaliciaColonmorales,1
author::UCA93ym2TXs_Ibyxb4Vcn-6Q,author,UCA93ym2TXs_Ibyxb4Vcn-6Q,@oswaldosolis8728,1
author::UCAKuKvcbfnBD3kF5njNu-IA,author,UCAKuKvcbfnBD3kF5njNu-IA,@melvinlopez7096,2
author::UCAV7QIjYhbDJaycQycM_0eQ,author,UCAV7QIjYhbDJaycQycM_0eQ,@mariavail8998,7
author::UCAlzM_N6xBlMYmM8EBzX86Q,author,UCAlzM_N6xBlMYmM8EBzX86Q,@carlossoto3252,1
author::UCAmtbUiIrUIhikru0ZoTFig,author,UCAmtbUiIrUIhikru0ZoTFig,@Aura-vf6dm,1
author::UCAxvOOHQk7dYPOajzFEVtbA,author,UCAxvOOHQk7dYPOajzFEVtbA,@ruddydepaz322,8
author::UCB5p8a5gklc80jJItP6xTHg,author,UCB5p8a5gklc80jJItP6xTHg,@ernestogamboa8737,1
author::UCBlm80VQ4YoV3bUJR_XhkaQ,author,UCBlm80VQ4YoV3bUJR_XhkaQ,@rosadiaz6945,6
author::UCBtB5dIyx-C16UN8ClUD2UA,author,UCBtB5dIyx-C16UN8ClUD2UA,@alexmonzon4257,10
author::UCCBYcToQ2dwkd6TJh0FSyDg,author,UCCBYcToQ2dwkd6TJh0FSyDg,@lidiarodriguez3493,2
author::UCCUmP4PlbwgikVFpYwbtRTg,author,UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,3
author::UCCaYwkkbQGcvFoUmothVdQQ,author,UCCaYwkkbQGcvFoUmothVdQQ,@OsvaldoAguirre-l3i,1
author::UCDIMztpVm7G27qBuiWuT6oQ,author,UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,1
